Site;ForestType;canopy_gap;Forestage_2005;vol_2005;BasalArea_2005;Pine_2005;Spruce_2005;Deciduous_2005;Forestage_2018;vol_2018;BasalArea_2018;Pine_2018;Spruce_2018;Birch_percent_2018;Deciduous_2018;MaNonegeCat;MaNonegeSubCat;Date;Year;temp_dAprilMax;TWI_val;bas_spruce;bas_pine;bas_birch;bas_sorbus;bas_asp;boulder;log_20;log_5;new_stumps;old_stumps;tmaxapril_2005;tmin5sep_2005;mean_TreeHeight;soil_moist
40;spruce;29.71925;69;334;42.7;40;50;10;81;277;29.9;0;95;0;5;Thinning;ThinUnk;01/10/2007;2007;2.8801899;7.1650801;19.1;NA;3.2;1;0;4;9;4;28;8;6.0056901;2.6011701;26.8920399;0.56875
41;spruce;36.9676;70;87;9.4;67;33;0;83;233;23.1;63;37;0;0;Nutrients;Nutrients;01/09/2010;2010;-3.30092;7.1690602;19.3;1.6;0;0;0;1.5;5;11;0;26;14.3746004;0.564542;21.14261017;0.5625
42;spruce;25.1232;68;242;28.3;10;90;0;81;336;33.7;9;91;0;0;Thinning;ThinUnk;01/08/2006;2006;-1.30109;6.37848;19.6;1.5;1;0.1;0;2.5;0;0;0;3;9.7378597;0.117734;28.65878928;0.5
43;NA;16.0074;61;280;29.4;20;71;10;78;444;41.1;10;90;0;0;Thinning;ThinUnk;01/11/2007;2007;-3.1860299;8.5189104;32.8;0;0;0;0;13;9;8;0;31;12.4939003;2.42191;NA;0.5
44;spruce;24.759;51;299;38.8;30;61;10;62;269;28.3;41;46;13;0;Nutrients;Nutrients;01/08/2010;2010;2.6930101;9.9315901;18.9;2.5;0.4;0;0;3;4;8;42;1;9.4220896;4.1735401;21.12591477;0.575
45;spruce;27.703;57;290;34.3;20;80;0;75;255;26.4;43;53;4;0;Nutrients;Nutrients;01/09/2006;2006;2.06656;7.14217;12.1;6.4;3.875;0.5;0;2;3;7;66;5;10.3628998;3.08214;20.28696255;0.5
46;mixed;27.4216;50;180;23.1;80;20;0;63;304;32.1;75;24;1;0;None;None;None;None;-2.1277101;7.9476299;5.7;11.1;0;0;0;13;0;0;1;12;13.9568005;2.4227901;27.17338704;0.5
47;spruce;21.7438;56;258;23.2;0;100;0;70;443;40.4;0;100;0;0;Thinning;ThinUnk;01/05/2008;2008;-4.1442299;8.0364599;25.9;0;1.6;0;0;21;0;20;0;31;13.4812002;1.85247;26.63353827;0.5375
48;mixed;25.4858;65;260;25;15;84;1;78;365;35.2;14;85;1;0;Thinning;FirstThin;01/06/2005;2005;-2.4365399;7.64573;23;4.7;1;0;0;10;0;1;0;12;13.7551003;0.163212;23.45984832;0.5
49;spruce;25.1458;58;350;38.5;20;80;0;71;261;27.2;18;82;0;0;Nutrients;Nutrients;06/06/2014;2014;2.7226601;9.8322496;25;0.5;0;0;0;20;5;13;56;14;9.7599401;1.35934;25.02698294;0.5
50;mixed;21.2446;55;211;24.2;40;50;10;68;336;33.3;38;54;0;9;Thinning;ThinUnk;01/05/2006;2006;-2.2741399;7.07476;16.9;6.4;0.9;0;0;11;6;12;0;9;13.3584003;1.43607;27.76128408;0.5
51;pine;40.9206;52;225;33.6;90;10;0;64;206;24.5;88;12;0;0;Thinning;ThinUnk;01/05/2006;2006;2.19258;5.7313099;2.9;17;1;0;0;52;2;9;14;28;10.5846996;2.2384801;21.40969015;0.5
52;spruce;27.6262;52;287;39.3;50;50;0;64;230;24.5;45;55;0;0;Nutrients;Nutrients;10/06/2015;2015;3.5659599;6.3204799;15.8;3.4;0.4;0;0;4;0;2;46;26;9.5017796;2.0847099;19.3736692;0.5
53;spruce;21.785;50;267;33.2;0;100;0;67;270;29.7;37;58;5;0;Thinning;ThinUnk;01/05/2008;2008;1.04719;6.1781502;25;0;0;0;0;10;0;0;29;34;11.2676001;1.68835;20.48593653;0.5
54;pine;28.665;64;211;27.4;70;30;0;77;364;35.5;68;32;0;0;Nutrients;Nutrients;06/02/2014;2014;-1.95465;7.50525;6.8;18;0.4;0;0;2;0;3;2;31;13.5321999;1.41863;24.16441833;0.4875
55;spruce;32.0124;51;344;38.9;30;70;0;73;236;26.6;8;89;3;0;Nutrients;Nutrients;06/02/2014;2014;3.0859301;7.5260701;9.8;9;0.4;0;0;12;3;0;78;12;10.8225002;1.72346;20.1611805;0.5
